time,open,high,low,close,volume,ticker,industry,MA10,MA20,MA50,MA200,rsi,macd,upper_band,lower_band,RS
2020-03-06,7960,7960,7810,7930,1362870,SSI,Dịch vụ tài chính,7723.0,8041.5,8409.4,,38.46153846153846,-216.85057899058302,8736.725067684421,7346.274932315579,
2020-03-09,7390,7500,7390,7390,3576610,SSI,Dịch vụ tài chính,7690.0,7994.5,8383.4,,30.73770491803279,-239.31217742678746,8733.331937303006,7255.668062696994,
2020-03-10,7070,7430,7070,7390,3374030,SSI,Dịch vụ tài chính,7651.0,7950.0,8356.8,,29.875518672199163,-254.1830915585515,8722.855266630086,7177.144733369915,
2020-03-11,7520,7520,6890,6890,3614130,SSI,Dịch vụ tài chính,7575.0,7871.5,8320.2,,24.74226804123711,-302.8234591369028,8739.341241848182,7003.658758151818,
2020-03-12,6550,6650,6410,6440,4606030,SSI,Dịch vụ tài chính,7436.0,7775.5,8276.2,,21.951219512195124,-373.3784655400332,8822.168398702315,6728.831601297685,
2020-03-13,6030,6530,6030,6310,4484960,SSI,Dịch vụ tài chính,7312.0,7668.0,8229.0,,25.263157894736835,-434.7719495819156,8851.368964128736,6484.6310358712635,
2020-03-16,6410,6460,6270,6310,2897920,SSI,Dịch vụ tài chính,7193.0,7564.5,8183.4,,23.655913978494624,-477.9175914998368,8843.866208220617,6285.133791779383,
2020-03-17,6220,6740,6080,6740,4834780,SSI,Dịch vụ tài chính,7110.0,7485.0,8145.8,,35.27508090614886,-471.9728084839635,8761.681553667022,6208.318446332978,
2020-03-18,6840,6840,6460,6500,3190370,SSI,Dịch vụ tài chính,6988.0,7392.0,8104.4,,28.888888888888886,-481.0819065942178,8671.285985063114,6112.714014936885,
2020-03-19,6360,6600,6310,6500,2568540,SSI,Dịch vụ tài chính,6840.0,7299.0,8059.6,,31.707317073170742,-482.7362494829449,8552.15433585558,6045.84566414442,
2020-03-20,6650,6670,6460,6580,2868770,SSI,Dịch vụ tài chính,6705.0,7214.0,8017.8,,34.13793103448276,-472.14935289168443,8416.58318456123,6011.416815438771,
2020-03-23,6270,6360,6130,6130,3296350,SSI,Dịch vụ tài chính,6579.0,7134.5,7967.6,,28.048780487804876,-494.3715922815336,8404.567963370031,5864.432036629969,
2020-03-24,6150,6180,5790,5940,3009990,SSI,Dịch vụ tài chính,6434.0,7042.5,7913.0,,23.192771084337352,-521.3050095552726,8380.446187258647,5704.553812741353,
2020-03-25,6180,6340,6050,6340,2376040,SSI,Dịch vụ tài chính,6379.0,6977.0,7871.2,,26.30057803468209,-504.5570600169731,8317.983142874524,5636.016857125476,
2020-03-26,6270,6290,6130,6150,1256940,SSI,Dịch vụ tài chính,6350.0,6893.0,7823.8,,25.277777777777786,-500.84220428164554,8219.397574754921,5566.602425245078,
2020-03-27,6180,6200,5870,5870,2469460,SSI,Dịch vụ tài chính,6306.0,6809.0,7767.4,,27.24550898203593,-514.560283642495,8172.476979521164,5445.523020478836,
2020-03-30,5650,5650,5460,5460,2427550,SSI,Dịch vụ tài chính,6221.0,6707.0,7702.8,,24.266666666666666,-552.1506844677479,8155.398026132737,5258.601973867263,
2020-03-31,5530,5680,5270,5510,1680730,SSI,Dịch vụ tài chính,6098.0,6604.0,7638.2,,29.09090909090908,-571.3209337243679,8086.578124328289,5121.421875671711,
2020-04-01,5510,5890,5510,5890,3715270,SSI,Dịch vụ tài chính,6037.0,6512.5,7581.2,,41.486068111455104,-549.5161895952315,7929.50759571561,5095.49240428439,
